date,code,close
2021-10-31,UNI,24.98
2021-11-30,UNI,21.25
2021-12-31,UNI,17.0
2022-01-27,UNI,10.59
2021-01-31,XLM,0.30704
2021-02-28,XLM,0.40587
2021-03-31,XLM,0.4056
2021-04-30,XLM,0.52966
2021-05-31,XLM,0.40243
2021-06-30,XLM,0.28389
2021-07-31,XLM,0.28422
2021-08-31,XLM,0.3393
2021-09-30,XLM,0.2787
2021-10-31,XLM,0.3725
2021-11-30,XLM,0.3358
2021-12-31,XLM,0.2665
2022-01-27,XLM,0.1967
2021-01-31,XMR,137.73
2021-02-28,XMR,219.18
2021-03-31,XMR,245.8
2021-04-30,XMR,421.78
2021-05-31,XMR,272.21
2021-06-30,XMR,223.06
2021-07-31,XMR,239.86
2021-08-31,XMR,285.8
2021-09-30,XMR,251.1
2021-10-31,XMR,274.9
2021-11-30,XMR,238.0
2021-12-31,XMR,228.7
2022-01-27,XMR,145.9
2021-01-31,XRP,0.49507
2021-02-28,XRP,0.41565
2021-03-31,XRP,0.56982
2021-04-30,XRP,1.5988
2021-05-31,XRP,1.0409
2021-06-30,XRP,0.7063
2021-07-31,XRP,0.746
2021-08-31,XRP,1.1856
2021-09-30,XRP,0.9533
2021-10-31,XRP,1.1128
2021-11-30,XRP,0.9983
2021-12-31,XRP,0.8297
2022-01-27,XRP,0.604
